title;author;rating;votes;url;page
"Нилоа Грэй — Тени Овидии";"";"";"";"https://fantasy-worlds.org/lib/id38792/";"6"
"Эмили С.Р. Пэн — Луна и Стрелок";"";"";"";"https://fantasy-worlds.org/lib/id38791/";"6"
"Джессика Чоффи — Девушка со снежным сердцем";"";"";"";"https://fantasy-worlds.org/lib/id38790/";"6"
"Майя Эдлин — Сестра русалки";"";"";"";"https://fantasy-worlds.org/lib/id38699/";"13"
"Виктория Драх — Город, что дышит туманом";"";"";"";"https://fantasy-worlds.org/lib/id38698/";"13"
"Владимир Синицын — Поворот судьбы";"";"";"";"https://fantasy-worlds.org/lib/id38697/";"13"
"Евгений Шалашов — Смерть на обочине";"";"";"";"https://fantasy-worlds.org/lib/id38696/";"13"
"Хван Согён — Привычный мир";"";"";"";"https://fantasy-worlds.org/lib/id38695/";"13"
"Урсула Ле Гуин — Всё об Орсинии (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38694/";"13"
"Джеймс Хоган — Звезда гигантов";"";"";"";"https://fantasy-worlds.org/lib/id38693/";"13"
"Бентли Литтл — Влияние";"";"";"";"https://fantasy-worlds.org/lib/id38692/";"13"
"Анна Штак — Проклятие усадьбы леди Элизабет";"";"";"";"https://fantasy-worlds.org/lib/id38691/";"13"
"Кейт Латимер — Пропавшая книга Шелторпов";"";"";"";"https://fantasy-worlds.org/lib/id38690/";"13"
"Виктория Голубева — Семестр нераскрытых преступлений";"";"";"";"https://fantasy-worlds.org/lib/id38689/";"13"
"Маргарита Блинова — Звездокрыл";"";"";"";"https://fantasy-worlds.org/lib/id38688/";"13"
"Василий Головачев — До начала всех начал";"";"";"";"https://fantasy-worlds.org/lib/id38687/";"13"
"Арина Цимеринг — Как поймать монстра. Круг третий. Книга 2";"";"";"";"https://fantasy-worlds.org/lib/id38686/";"13"
"Игорь Евдокимов — Зловещие маски Корсакова";"";"";"";"https://fantasy-worlds.org/lib/id38685/";"13"
"Танит Ли — Владыка Ночи (перевод Марины Осиповой)";"";"";"";"https://fantasy-worlds.org/lib/id38684/";"14"
"Юлия Зонис — Церковь Таможенного Союза";"";"";"";"https://fantasy-worlds.org/lib/id38683/";"14"
"Сергей Юрьев — Дорога на расстрел";"";"";"";"https://fantasy-worlds.org/lib/id38682/";"14"
"Мио Тидзуру — Апельсиновая кошка";"";"";"";"https://fantasy-worlds.org/lib/id38681/";"14"
"Павел Шушканов — Магритт";"";"";"";"https://fantasy-worlds.org/lib/id38680/";"14"
"Сания Шавалиева — Сто мелодий из бутылки";"";"";"";"https://fantasy-worlds.org/lib/id38679/";"14"
"Влад Райбер — Вселенная нелюдей (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38678/";"14"
"Minecraft Family — Отель «У зависшего альпиниста»";"";"";"";"https://fantasy-worlds.org/lib/id38677/";"14"
"Мари Лефейр — Ветер севера";"";"";"";"https://fantasy-worlds.org/lib/id38676/";"14"
"Ясуси Иноуэ — Лоулань (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38675/";"14"
"Ксавье О. Холлоуэй — Комикс";"";"";"";"https://fantasy-worlds.org/lib/id38674/";"14"
"Арсен Гуссе — Тысяча и одна тайна парижских ночей";"";"";"";"https://fantasy-worlds.org/lib/id38673/";"14"
"Якоб Гримм — Тёмные сказки братьев Гримм (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38672/";"14"
"Цзюлу Фэйсян — Семь жизней до счастья";"";"";"";"https://fantasy-worlds.org/lib/id38671/";"14"
"Лилия Белая — По воле чародея";"";"";"";"https://fantasy-worlds.org/lib/id38670/";"14"
"Коллектив авторов — Немного о чудовищах (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38669/";"15"
